"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8496.12697329434,7587.67920921841,5859.69234150638,6629.85343337111,7387.54602606921,9009.70516494552,7445.76056793809,7439.57263931042,5283.69266893268,8242.37353038842,6746.40197312428,7773.94332260149,7946.0025964762,7889.35485341472,8174.36723855749,7782.79403845125,7597.19269917974,9121.01660318338,8873.70756664325,5344.00436811115,7137.30699894119,7899.34384847073,6797.79676231967,8128.76912548472,8825.48164794188,8354.47339313258,9109.45187353828,8265.20107225109,8334.50246804207,7950.21266869523,8170.68540109359,7630.79496359839,7605.94733259942,7623.40474810607,8591.3042307034,7663.55121999359,7691.56057091752,8324.31425572116,8297.35144119434,8393.56201845277
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6712.04732403426,8128.97207300522,8422.65543562708,7900.36120870648,6371.67060871912,7862.75227811255,7500.08979213674,7295.57505828898,8725.06069557232,6363.24408240067,8732.71974167083,6377.02968708654,7484.16752744498,7384.1307736854,6244.93839046837,7171.44758002367,8088.64309398502,8978.25137095539,7828.51552227208,7085.83337752357,6357.22631480541,7891.32254992619,6468.4191658044,8511.52371450148,8158.95830523343,6908.94938705545,8329.36807770809,8066.97956339771,8471.87803668265,8482.95167076049,8549.13437379441,7367.84422329511,8274.65250282618,8286.70231024079,7577.67248910527,7974.77759784252,8230.84819240707,8332.95695723665,8356.83786301349,8393.56201831901
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6968.22707589811,7700.18146762495,4878.68931702471,7906.53810768074,7447.48198009131,7925.36252657541,7546.28175422598,5622.31703052029,8285.89526037598,5951.41983981108,7476.29427041195,7433.14122363372,7286.67375037149,8002.87761076831,7935.33016837366,6914.18270949818,7778.2961648954,7088.15182518315,7924.90439682173,6676.36364201823,7722.15696150708,7907.79107138252,8521.48209893256,8547.04282939601,8284.65575920421,8401.27010600838,7956.53086471189,7418.4983060749,7345.52566436749,8389.5107104595,8093.76967260768,8012.78578345035,7604.85134848606,8279.29965024661,8366.28058460054,8418.16387688021,8103.92643023258,8546.24645502091,8376.33339068658,8393.56201847
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6028.96235509004,8705.38462492916,7185.48614069958,6310.97321486729,8243.06257654386,9092.05758897958,7595.28083602305,7674.67317710403,6755.44945562998,7259.32525471322,8852.55480700564,7616.14335323327,7897.69630595152,7934.59129742026,8402.79462095279,6682.07818732636,7892.17313942513,7941.20889713661,7101.25739965964,7800.65918947736,7798.59181628136,8227.85424013537,8266.32842844708,8834.8109221024,6939.71492513654,8198.29727456018,7601.54277684332,7822.63728988298,7889.57628218933,8119.98254718551,7836.69398568681,8439.86435531611,8104.79787163109,8629.83310077224,7678.57238296011,8552.51024514975,8469.24485240797,8458.16867130677,8489.63436848406,8393.56201852841
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6361.59760534658,8567.13140111354,7960.78541175276,8203.62289787062,7618.43248686541,7601.82108316669,5984.50622099977,7509.72647733092,7654.08666990899,7405.04169949032,8203.8473027925,8139.35941408712,8474.08428495725,8300.44863874721,7404.11500218545,7605.00150569306,8749.15747976451,7663.27746472045,7762.33168857351,7538.77947635932,8054.14372197008,7731.35389919234,8174.14587730002,8345.77669488695,8457.34535868486,7427.42279044571,7418.38989277757,6858.84244754337,7671.46580570593,7803.89298797612,8375.56355210188,8253.80293551929,8229.2976862067,8747.89149336054,7982.24478188227,8409.45026644486,8422.02894072885,8392.25362065973,8494.54595997966,8393.56201854226
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4659.02038994597,6977.86466871638,6920.31312255333,8815.06437940231,7660.87626213622,8035.71080868424,7404.98416082306,6836.76382005576,6954.41386708925,7590.66306005522,6442.43416183452,7946.02252364099,6634.39317946808,8408.96704973215,7799.88457883259,7878.7763766419,8565.80065717408,8234.59693466632,7828.09436932616,8539.08414611068,8716.35872173308,8760.61226367266,8390.95222192428,8169.78205306421,7244.86094874667,8421.91558221544,8294.93228568658,5601.03454112456,7098.82730542185,7678.08086386181,7933.11700101118,7952.83828972639,7542.22027669828,8126.70340918443,8265.71169583469,8476.5306102253,8486.14612590633,8321.90146862521,8454.24698098092,8393.56201851789
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5589.92832814281,6914.12703846055,8050.84116815305,7908.62919797804,7540.49168161616,7240.66353785333,8762.94591556099,7881.02110565704,6805.78732235364,6949.64776657459,8080.90997630549,6680.76308613478,7568.81672984895,7874.50081586205,8358.16903375341,7697.65457691223,6193.97865573117,8537.85709506361,7680.45649268692,7531.06324596916,7214.37681257647,7012.72768802957,8454.39577385334,7670.0039488468,7987.92632302011,7870.00889656442,8131.21742479518,8460.53240948389,7300.31766419047,6509.53746708904,7373.26055304922,8098.43633254046,7263.81623788682,7791.97409609357,8235.27509407375,8293.88303725107,8617.17774557832,8403.42802201948,8335.5952971401,8393.56201846648
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6536.38465288109,7935.3872714177,7395.86586641217,8664.38888346441,6876.93856226222,8877.74734630082,7734.00670433863,5739.92056178148,8850.65763123519,7624.94065432251,5963.94308646973,6698.92046246157,8173.15675392595,7208.10612903596,7945.435707534,8045.10016611298,8310.63905480791,7921.73656111142,8370.31706320211,8094.19227877542,6318.13584489416,6827.90210805175,8419.67175423252,7567.74713817123,8125.29356719604,8148.08815759412,5822.96101182111,7925.81536613033,8329.00891192899,8756.59393091598,8394.09780196876,7715.44715560176,8369.81100520364,8558.55918326325,8319.58291691009,7970.34030553186,7717.8202039625,8265.71658835576,8424.12026603696,8393.56201852441
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6693.91069022495,7619.88206075697,7642.04777869652,6225.99525213884,7243.11574774668,7437.00121828157,7448.8797864629,6826.33048187116,6523.13509883649,7635.43630023488,7224.33429194571,7364.03240348599,5012.99785306093,7039.48020115725,7464.75254944641,6827.0770083018,7841.95179895146,8602.26645292417,8806.81336927855,8787.37528343735,8478.19686741866,8651.59895651265,7886.1583100882,7975.58361888411,7862.95356080346,8301.99629625739,8218.78428356092,7909.70422696492,8123.26224801378,8244.91268007676,8865.90129688678,8302.57001556719,8055.62825203977,7970.48503927447,8455.54642380121,8349.55204591036,8316.12056655943,8205.86508040921,8335.39336010242,8393.56201855117
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7600.39312969104,5744.33790220081,6360.67881595909,8431.10635559828,7127.67872334582,7153.93285680655,7237.59300765031,7782.33318657869,7020.2551378568,8323.00846865042,7143.58833505574,7479.92760958738,7591.86891231936,7795.76620095337,8210.35534028682,7933.64090748194,8121.40164320135,8415.27866026488,6726.26037951128,8381.49335210613,7779.36906075429,7605.45599947525,7765.23681651779,8966.6738379467,8737.91485111943,8314.24939618306,7735.00539982607,7177.78331795488,7160.8886951762,8518.27970112562,8245.22972547264,8517.56765808959,7728.40236234168,8244.94715762807,8129.40962130333,8668.06971425114,8342.0778977522,8316.43766669453,8154.51108982734,8393.56201842485
